Cat. Nr.,Common Name,Length,Recordist,Date,Time,Country,Location,Elevation,Type,Remarks,Quality,MP3 Link
XC232248,Common Scale-backed Antbird,1:23,,2006-07-22,08:00,Brazil,"Tabajos tracks, Sao Gabriel da Cachoeira, Amazonas",,"call, song",ID certainty 90%. (Archiv. tape 393 side A track 16 seq. C),B,//xeno-canto.org/sounds/uploaded/OOECIWCSWV/XC232248-Scale-backed%20Antbird%20B%208301.mp3
XC232247,Common Scale-backed Antbird,0:33,,2006-07-22,08:00,Brazil,"Tabajos tracks, Sao Gabriel da Cachoeira, Amazonas",,call,ID certainty 90%. (Archiv. tape 393 side A track 16 seq. B),B,//xeno-canto.org/sounds/uploaded/OOECIWCSWV/XC232247-Scale-backed%20Antbird%20B%208300.mp3
XC232246,Common Scale-backed Antbird,0:15,,2006-07-22,08:00,Brazil,"Tabajos tracks, Sao Gabriel da Cachoeira, Amazonas",,song,ID certainty 90%. (Archiv. tape 393 side A track 16 seq. A),B,//xeno-canto.org/sounds/uploaded/OOECIWCSWV/XC232246-Scale-backed%20Antbird%20B%208299.mp3
XC162806,Common Scale-backed Antbird,1:43,,2014-12-04,06:30,Brazil,"Presidente Figueiredo, Amazonas",50.0,song,Recorded in an island with 18ha.,B,//xeno-canto.org/sounds/uploaded/VPCOOSQDRP/XC162806-Willisornis%20poecilinotus_Coat%C3%A1_04dez2013%202.mp3
XC119155,Common Scale-backed Antbird,0:28,,2011-01-30,11:30,Brazil,"Manaus, Amazonas",130.0,song,,B,//xeno-canto.org/sounds/uploaded/TGBFXDVERJ/XC119155-Wilisornis%20poecilonotus_Presidente%20Figueiredo.MP3
XC6156,Common Scale-backed Antbird,0:44,,1985-09-13,?,Venezuela,"San Carlos del Rio Negro, Amazonas",119.0,song,Bird not seen.,B,//xeno-canto.org/sounds/uploaded/IHIOGGZVQA/Hylophylax_poecilinota_37b3009_850913.mp3
XC437941,Common Scale-backed Antbird,0:05,,2018-06-27,06:24,Brazil,"Cabo Frio, Amazonas",140.0,song,[sono],C,//xeno-canto.org/sounds/uploaded/QCRJBRYRWW/XC437941-180627_02%20Willisornis%20poecilinotus%20song.mp3
XC163578,Common Scale-backed Antbird,1:28,,1987-01-00,?,Colombia,"PNN Amacaycau, Leticia, Amazonas",110.0,song,[sono],C,//xeno-canto.org/sounds/uploaded/YTUXOCTUEM/XC163578-Willisornis_poecilinotus_lepidonota-FL%20song%20Amacayacu%201987-1.mp3
XC74381,Common Scale-backed Antbird,0:21,,2010-07-24,08:00,Brazil,"Presidente Figueiredo, Amazonas",50.0,alarm?,[sono],C,//xeno-canto.org/sounds/uploaded/MRGDYNJGUJ/Willisornis%20poecilinotusMMelo.mp3
XC419681,Mouse-colored Antshrike,0:03,,2017-09-07,15:45,Brazil,"Close to Ramal do Pau Rosa, Manaus, Amazonas",100,song,[sono],,//xeno-canto.org/sounds/uploaded/CFRYARSVHN/XC419681-STE-046%20choca-murina%20xc.mp3
XC494541,Mouse-colored Antshrike,0:06,,2019-08-02,10:52,Brazil,"Presidente Figueiredo, Amazonas",150,call,Floresta alta mas a ave estava no extrato médio.,A,//xeno-canto.org/sounds/uploaded/LXKLWEDKEM/XC494541-ICOGNITA%20CHOCA%20e%20outros%202-8-2019%2010e52.mp3
XC493820,Mouse-colored Antshrike,0:14,,2019-08-04,13:02,Brazil,"Iranduba, Amazonas",40,song,[sono],A,//xeno-canto.org/sounds/uploaded/LXKLWEDKEM/XC493820-Choca%20murina%20%28Thamnophilus%20murinus-OK%29%204-8-2019%2013e2.mp3
XC493819,Mouse-colored Antshrike,0:38,,2019-08-04,13:00,Brazil,"Iranduba, Amazonas",40,song,[sono],A,//xeno-canto.org/sounds/uploaded/LXKLWEDKEM/XC493819-4-8-2019%2013e0%20Choca%20murina.mp3
XC469845,Mouse-colored Antshrike,0:10,,2017-07-26,16:00,Brazil,"Presidente Figueiredo, Amazonas",150,song,[sono],A,//xeno-canto.org/sounds/uploaded/AKHCFQUKLZ/XC469845-Thamnophilus%20murinus-%20Pres%20Figueire-%20Felipe%20Arantes.mp3
XC394446,Mouse-colored Antshrike,0:28,,1996-00-00,?,Brazil,"BDFFP, Amazonas state",110,"call, song",Pair,A,//xeno-canto.org/sounds/uploaded/QCRJBRYRWW/XC394446-INPA%20-%20Thamnophilus%20murinus%20%28Mouse-colored%20Antshrike%29.mp3
XC241393,Mouse-colored Antshrike,1:16,,1998-12-17,08:30,Brazil,"São Gabriel da Cachoeira, Amazonas",70,song,Right bank of rio Negro - terra firme forest,A,//xeno-canto.org/sounds/uploaded/DGVLLRYDXS/XC241393-THAMUR04.mp3
XC87704,Mouse-colored Antshrike,0:44,,1998-12-19,08:50,Brazil,"São Gabriel da Cachoeira, Amazonas",70,song,Right bank of rio Negro. Terra firme forest.,A,//xeno-canto.org/sounds/uploaded/DGVLLRYDXS/THAMUR06.mp3
XC87703,Mouse-colored Antshrike,1:12,,2004-08-05,07:34,Brazil,"São Gabriel da Cachoeira, Amazonas",70,song,"Right bank of rio Negro. Terra firme forest. Male in foreground, female (not seen) singing occasionally, further off.",A,//xeno-canto.org/sounds/uploaded/DGVLLRYDXS/THAMUR16.mp3
XC835686,Mouse-colored Antshrike,0:57,,2023-07-23,09:00,Brazil,"Tabatinga, State of Amazonas",80,song,"El ave fue observada perchada en el dosel bajo, a unos ocho metros de altura, en el borde de bosque secundario maduro.",B,//xeno-canto.org/sounds/uploaded/SSPKAXLBEU/XC835686-Thamnophilus-murinus---23072023-Comunidad-de-Novo-Paraiso---Tabatinga%2C-Amazonas..mp3
XC747133,Mouse-colored Antshrike,1:14,,2022-09-04,11:30,Colombia,"Leticia, Amazonas",100,"song, mosquitos en vuelo, monos saguinus nigricollis.","Se encontró una pareja de esta especie, forrajeando en el bosque a orilla del sendero que conduce a la Maloca Pijachi km 22 - Río Tacana; en la zona rural de la ciudad de Leticia, Amazonas.",B,//xeno-canto.org/sounds/uploaded/SSPKAXLBEU/XC747133-Thamnophilus%20murinus%2004092022%20Pijachi.mp3
XC505307,Mouse-colored Antshrike,0:22,,2019-08-13,07:00,Brazil,"Manacapuru, Amazonas",40,song,[sono],B,//xeno-canto.org/sounds/uploaded/VWCBCAIJUC/XC505307-190813_1303%20T.%20murinus.mp3
XC484670,Mouse-colored Antshrike,0:23,,2019-07-03,07:00,Brazil,"Manaus, Amazonas",60,song,[sono],B,//xeno-canto.org/sounds/uploaded/TGBFXDVERJ/XC484670-Thamnophilus%20murinus_Bons%20amigos_1129.mp3
XC417799,Mouse-colored Antshrike,0:27,,2018-05-28,07:00,Brazil,"Itacoatiara, Itacoatiara, Amazonas",20,song,[sono],B,//xeno-canto.org/sounds/uploaded/TGBFXDVERJ/XC417799-Thamnophilus%20murinus_Novo%20Remanso_1068.mp3
XC394447,Mouse-colored Antshrike,0:08,,1996-00-00,?,Brazil,"BDFFP, Amazonas state",110,call,,B,//xeno-canto.org/sounds/uploaded/QCRJBRYRWW/XC394447-Thamnophilus_murinus2.mp3
XC357146,Mouse-colored Antshrike,0:51,,2017-02-24,08:00,Brazil,"Silves, Amazonas",40,"call, song",[sono],B,//xeno-canto.org/sounds/uploaded/TGBFXDVERJ/XC357146-Thamnophilus%20murinus_Itapiranga_1223.mp3
XC325807,Mouse-colored Antshrike,0:14,,2016-07-03,07:00,Brazil,"Silves, Amazonas",40,song,[sono],B,//xeno-canto.org/sounds/uploaded/TGBFXDVERJ/XC325807-Thamnophilus%20murinus_Itapiranga_1200.mp3
XC301036,Mouse-colored Antshrike,1:50,,1998-12-17,10:40,Brazil,"São Gabriel da Cachoeira, Amazonas",70,"call, song",right bank of rio Negro -  terra firme forest - several birds - one was feeding another - family group?,B,//xeno-canto.org/sounds/uploaded/DGVLLRYDXS/XC301036-THAMUR21.mp3
XC573121,White-cheeked Antbird,0:10,,2020-07-02,06:30,Brazil,"Cirandeira Bela, Manacapuru, Amazonas",20,"call, song",[sono],A,//xeno-canto.org/sounds/uploaded/TGBFXDVERJ/XC573121-Gymnopithis%20leucapis_Cirandeira_1151%202.mp3
XC493045,White-cheeked Antbird,0:24,,2019-08-08,07:00,Brazil,"Novo Airão, State of Amazonas",70,"call, song",[sono],A,//xeno-canto.org/sounds/uploaded/TGBFXDVERJ/XC493045-Gymnopiths%20leucaspis_Novo%20Airao_1534.mp3
XC265354,White-cheeked Antbird,0:13,,2015-07-19,06:30,Brazil,"Manacapuru, Amazonas",30,song,in terra firme forest,A,//xeno-canto.org/sounds/uploaded/INDDBZAFJL/XC265354-R09_0126_bicolor.mp3
XC390078,White-cheeked Antbird,0:07,,2017-10-13,07:30,Brazil,"Novo Airão, Amazonas",70,song,[sono],B,//xeno-canto.org/sounds/uploaded/TGBFXDVERJ/XC390078-Gymnopithys%20leucaspis_Novo%20Airao_1941.mp3
XC352097,White-cheeked Antbird,0:18,,2017-01-21,07:30,Brazil,"Manacapuru, Amazonas",20,call,[sono],B,//xeno-canto.org/sounds/uploaded/TGBFXDVERJ/XC352097-Gymnophthis%20leucaspis_Manacapuru_1601.mp3
XC352096,White-cheeked Antbird,0:22,,2017-01-21,07:30,Brazil,"Manacapuru, Amazonas",20,song,[sono],B,//xeno-canto.org/sounds/uploaded/TGBFXDVERJ/XC352096-Gymnophiths%20leucaspis_Manacapuru_1600.mp3
XC152860,White-cheeked Antbird,0:12,,2013-10-26,17:30,Brazil,"Manacapuru, Amazonas",20,song,[sono],B,//xeno-canto.org/sounds/uploaded/TGBFXDVERJ/XC152860-Gymnopiths%20leucaspis_Iranduba_1234.mp3
XC90227,White-cheeked Antbird,0:22,,2004-08-07,09:59,Brazil,"São Gabriel da Cachoeira, Amazonas",70,call,Right bank of rio Negro. At antswarm in terra firme forest.,B,//xeno-canto.org/sounds/uploaded/DGVLLRYDXS/GYMLEU02.mp3
XC90226,White-cheeked Antbird,1:01,,1998-12-17,07:15,Brazil,"São Gabriel da Cachoeira, Amazonas",70,call,Igapó forest.,B,//xeno-canto.org/sounds/uploaded/DGVLLRYDXS/GYMLEU01.mp3
XC855250,White-cheeked Antbird,0:27,,2020-12-27,06:30,Brazil,"Novo Airão, Amazonas",60,,[sono],C,//xeno-canto.org/sounds/uploaded/ESJQFJUOUH/XC855250-301557431.mp3
XC90224,White-cheeked Antbird,0:55,,2004-08-07,06:28,Brazil,"São Gabriel da Cachoeira, Amazonas",70,song,Right bank of rio Negro. Terra firme forest.,C,//xeno-canto.org/sounds/uploaded/DGVLLRYDXS/UNID0685.mp3
XC854333,White-cheeked Antbird,0:05,,2020-12-28,07:30,Brazil,"Manacapuru, Amazonas",30,,[sono],D,//xeno-canto.org/sounds/uploaded/ESJQFJUOUH/XC854333-301587491.mp3
XC387114,Blackish-grey Antshrike,0:12,,2017-09-10,09:20,Brazil,"Anavilhanas, Amazonas",30,song,[sono],A,//xeno-canto.org/sounds/uploaded/CFRYARSVHN/XC387114-STE-097%20choca%20preta%20e%20cinza%20xc.mp3
XC230755,Blackish-grey Antshrike,0:24,,1993-11-01,?,Venezuela,"Junglaven area, Amazonas",100 - 300,song,ID certainty 100%. (Archiv. tape 5 side B track 59 seq. A),A,//xeno-canto.org/sounds/uploaded/OOECIWCSWV/XC230755-Blackish-gray%20Antshrike%20%206869.mp3
XC205649,Blackish-grey Antshrike,1:11,,1996-11-18,08:30,Brazil,"Anavilhanas Archipelago, Amazonas",10,"call, song",,A,//xeno-canto.org/sounds/uploaded/YIQSVPAMDQ/XC205649-Blackish-grey%20Antshrike_negro.mp3
XC87717,Blackish-grey Antshrike,0:39,,2004-08-05,17:34,Brazil,"São Gabriel da Cachoeira, Amazonas",70,"duet, song",Left bank of rio Negro. Flooded igapó forest. After playback.,A,//xeno-canto.org/sounds/uploaded/DGVLLRYDXS/THANIG06.mp3
XC617671,Blackish-grey Antshrike,0:17,,2020-12-26,10:30,Brazil,"Anavilhanas Archipelago, Amazonas",10,song,[sono],B,//xeno-canto.org/sounds/uploaded/ESJQFJUOUH/XC617671-blackish%20gray%20antshrike.mp3
XC438504,Blackish-grey Antshrike,0:23,,2018-10-13,07:00,Brazil,"Anavilhanas, Amazonas",30,song,[sono],B,//xeno-canto.org/sounds/uploaded/TGBFXDVERJ/XC438504-Thamnophilus%20nigrocinereus_Novo%20Airao_1062.mp3
XC287005,Blackish-grey Antshrike,1:16,,2015-09-12,11:00,Brazil,"Ihlas Anavilhanas, Rio Negro, State of Amazonas",20,song,Song in response to playback from a pair (same as in,B,//xeno-canto.org/sounds/uploaded/WOEAFQRMUD/XC287005-Thamnophilus%20nigrocinereus150912_T154.mp3
XC283088,Blackish-grey Antshrike,0:33,,2015-05-16,07:30,Brazil,"Manaus, State of Amazonas",10,song,Calling from dense vegetation on river island.,B,//xeno-canto.org/sounds/uploaded/TXYAPFWGKB/XC283088-Thamnophilus%20nigricinerius.mp3
XC230757,Blackish-grey Antshrike,0:23,,1993-11-15,?,Venezuela,"Junglaven area, Amazonas",100 - 300,song,ID certainty 100%. (Archiv. tape 32 side A track 17 seq. A),B,//xeno-canto.org/sounds/uploaded/OOECIWCSWV/XC230757-Blackish-gray%20Antshrike%20%206871.mp3
XC230756,Blackish-grey Antshrike,0:18,,1993-11-01,?,Venezuela,"Junglaven area, Amazonas",100 - 300,"call, soft calls",ID certainty 100%. (Archiv. tape 5 side B track 65 seq. A),B,//xeno-canto.org/sounds/uploaded/OOECIWCSWV/XC230756-Blackish-gray%20Antshrike%20%206870.mp3
XC201846,Blackish-grey Antshrike,0:33,,2009-03-08,?,Venezuela,"Junglaven Lodge, Amazonas",140,song,[sono],B,//xeno-canto.org/sounds/uploaded/VROUALCTKG/XC201846-Blackish-gray%20Antshrike%20%28song%2C%20Junglaven%2C%20Venezuela%2C%20mar2009%2C%203%29.mp3
XC87716,Blackish-grey Antshrike,0:25,,1998-12-17,06:00,Brazil,"São Gabriel da Cachoeira, Amazonas",70,song,Right bank of rio Negro. Igapó forest.,B,//xeno-canto.org/sounds/uploaded/DGVLLRYDXS/THANIG01.mp3
XC287003,Blackish-grey Antshrike,0:28,,2015-09-12,10:30,Brazil,"Ihlas Anavilhanas, Rio Negro, State of Amazonas",20,call,Bark-rattle in response to playback from an unseen bird about 3-4m up in dense vines at edge of flooded forested island beside blackwater channel. Simultaneously recorded by Bret Whitney.,C,//xeno-canto.org/sounds/uploaded/WOEAFQRMUD/XC287003-Thamnophilus%20nigrocinereus150912_T153.mp3
XC660078,Dusky Antbird,0:12,,2021-06-27,09:20,Brazil,"Manaus, Amazonas",40,"duet, song, subsong",A resident couple in a dense probably bamboo (Guadua?) thicket in a forest clearing. At the end the female bird song is heard as well.,A,//xeno-canto.org/sounds/uploaded/DFYFSPXYGT/XC660078-cercomacroidestyrannina.mp3
XC468938,Dusky Antbird,0:08,,2015-07-25,09:30,Brazil,"Presidente Figueiredo, Amazonas",150,song,[sono],A,//xeno-canto.org/sounds/uploaded/AKHCFQUKLZ/XC468938-Cercomacra%20tyrnnina-Pres.Figuei-Felipe%20Arantes.mp3
XC387218,Dusky Antbird,0:21,,2017-08-04,08:00,Venezuela,"AutanaAtures, Amazonas",90,"alarm call, song",[sono],A,//xeno-canto.org/sounds/uploaded/FACNEOPZHK/XC387218-Cercomacroides%20tyrannina.mp3
XC352094,Dusky Antbird,0:32,,2017-01-21,07:30,Brazil,"Manacapuru, Amazonas",20,song,[sono],A,//xeno-canto.org/sounds/uploaded/TGBFXDVERJ/XC352094-Cercomacra%20tyrannina_Manacapuru_1595.mp3
XC301430,Dusky Antbird,1:02,,1998-12-19,07:40,Brazil,"São Gabriel da Cachoeira, Amazonas",70,song,right bank of rio Negro - forest edge - same birds as recorded in,A,//xeno-canto.org/sounds/uploaded/DGVLLRYDXS/XC301430-CERTYR15.mp3
XC246423,Dusky Antbird,1:04,,2004-08-05,06:46,Brazil,"São Gabriel da Cachoeira, Amazonas",70,song,"Right bank of rio Negro - terra firme forest - two pairs, in thick vegetation along a stream beside an open area",A,//xeno-canto.org/sounds/uploaded/DGVLLRYDXS/XC246423-CERTYR10.mp3
XC220764,Dusky Antbird,1:43,,2006-07-20,16:00,Brazil,"Cucuy road north of Sao Gabriel da Cachoeira, Amazonas",,subsong,ID certainty 100%. (Archiv. tape 392 side B track 29 seq. C),A,//xeno-canto.org/sounds/uploaded/OOECIWCSWV/XC220764-Dusky%20Antbird%20A%207815.mp3
XC220763,Dusky Antbird,0:52,,2006-07-20,16:00,Brazil,"Cucuy road north of Sao Gabriel da Cachoeira, Amazonas",,"call, song",ID certainty 100%. (Archiv. tape 392 side B track 29 seq. B),A,//xeno-canto.org/sounds/uploaded/OOECIWCSWV/XC220763-Dusky%20Antbird%20A%207814.mp3
XC220762,Dusky Antbird,0:45,,2006-07-20,16:00,Brazil,"Cucuy road north of Sao Gabriel da Cachoeira, Amazonas",,call,ID certainty 100%. (Archiv. tape 392 side B track 29 seq. A),A,//xeno-canto.org/sounds/uploaded/OOECIWCSWV/XC220762-Dusky%20Antbird%20A%207813.mp3
XC76484,Dusky Antbird,0:29,,2010-07-21,06:00,Brazil,"Presidente Figueiredo, Amazonas",50,song,habitat: campinarama;,A,//xeno-canto.org/sounds/uploaded/MRGDYNJGUJ/Cercomacra%20tyranninaMMelo.mp3
XC649606,Grey-crowned Flatbill,0:32,,2021-05-08,16:50,Brazil,"Manaus, Manaus, Amazonas",70.0,"song, courtship?","Very interesting behavior, a couple was apparently doing a courthship dance where the female would stay in a branch and the male would fly up to the female and hit her gently and go back to the branch he was on and insistently vocalize with it's crest erected. In an old secondary terra firme forest area that was being cut for house constructions.",A,//xeno-canto.org/sounds/uploaded/DFYFSPXYGT/XC649606-tolmomyiaspoliocephalus.mp3
XC493810,Grey-crowned Flatbill,0:14,,2019-08-04,11:12,Brazil,"Iranduba, Amazonas",40.0,song,,A,//xeno-canto.org/sounds/uploaded/LXKLWEDKEM/XC493810-4-8-2019%2011e12%20BICO%20CHATO%20DE%20CABECA%20CINZA%20nasica%20longirostris%20arapacu%20ferrugem%20garrinchao.mp3
XC343887,Grey-crowned Flatbill,0:21,,2004-08-08,11:32,Brazil,"São Gabriel da Cachoeira, Amazonas",70.0,call,tall campinarana forest,A,//xeno-canto.org/sounds/uploaded/DGVLLRYDXS/XC343887-UNID0687.mp3
XC97132,Grey-crowned Flatbill,0:17,,2004-08-14,09:41,Brazil,"Borba, Amazonas",30.0,call,Terra firme forest..,A,//xeno-canto.org/sounds/uploaded/DGVLLRYDXS/TOLPOL37.mp3
XC561900,Grey-crowned Flatbill,0:33,,2019-08-22,09:30,Brazil,"Carauari, State of Amazonas",110.0,call,Habitat: terra firme,B,//xeno-canto.org/sounds/uploaded/MFUJZRFOFS/XC561900-1036.mp3
XC535979,Grey-crowned Flatbill,0:24,,2016-05-20,06:30,Brazil,"Purus River, Boca do Acre, State of Amazonas",150.0,song,FCF00995 - Fonoteca Casa da Floresta.,B,//xeno-canto.org/sounds/uploaded/CHDHFSVVIN/XC535979-995%20Tolmomyias%20poliocephalus%20%28song%29Boca_do_Acre_AM_200516_FIG.mp3
XC535978,Grey-crowned Flatbill,0:15,,2016-05-20,06:30,Brazil,"Purus River, Boca do Acre, State of Amazonas",150.0,song,FCF00994 - Fonoteca Casa da Floresta.,B,//xeno-canto.org/sounds/uploaded/CHDHFSVVIN/XC535978-994%20Tolmomyias%20poliocephalus%20%28song%29_Boca_do_Acre_AM_200516_FIG.mp3
XC283334,Grey-crowned Flatbill,0:22,,1998-12-19,09:44,Brazil,"São Gabriel da Cachoeira, Amazonas",70.0,call,terra firme forest,B,//xeno-canto.org/sounds/uploaded/DGVLLRYDXS/XC283334-TOLPOL03.mp3
XC283333,Grey-crowned Flatbill,1:10,,2004-08-06,10:05,Brazil,"São Gabriel da Cachoeira, Amazonas",70.0,song,high in tree in campinarana,B,//xeno-canto.org/sounds/uploaded/DGVLLRYDXS/XC283333-TOLPOL34.mp3
XC231405,Grey-crowned Flatbill,0:25,,2006-07-18,09:00,Brazil,"Presidente Figueiredo area, Amazonas",,song,ID certainty 100%. (Archiv. tape 392 side A track 7 seq. A),B,//xeno-canto.org/sounds/uploaded/OOECIWCSWV/XC231405-Gray-crowned%20Flycatcher%20B%2010624.mp3
XC231404,Grey-crowned Flatbill,0:29,,2006-07-18,09:00,Brazil,"Presidente Figueiredo area, Amazonas",,song,ID certainty 90%. (Archiv. tape 392 side A track 2 seq. A),B,//xeno-canto.org/sounds/uploaded/OOECIWCSWV/XC231404-Gray-crowned%20Flycatcher%20B%2010623.mp3
XC231403,Grey-crowned Flatbill,0:50,,2006-07-19,10:30,Brazil,"Sao Gabriel da Cachoeira area, Amazonas",,song,ID certainty 100%. (Archiv. tape 392 side A track 25 seq. D),B,//xeno-canto.org/sounds/uploaded/OOECIWCSWV/XC231403-Gray-crowned%20Flycatcher%20B%2010629.mp3
XC231402,Grey-crowned Flatbill,0:40,,2006-07-19,10:30,Brazil,"Sao Gabriel da Cachoeira area, Amazonas",,song,ID certainty 100%. (Archiv. tape 392 side A track 25 seq. C),B,//xeno-canto.org/sounds/uploaded/OOECIWCSWV/XC231402-Gray-crowned%20Flycatcher%20B%2010628.mp3
XC231401,Grey-crowned Flatbill,0:54,,2006-07-19,10:30,Brazil,"Sao Gabriel da Cachoeira area, Amazonas",,song,ID certainty 100%. (Archiv. tape 392 side A track 25 seq. B),B,//xeno-canto.org/sounds/uploaded/OOECIWCSWV/XC231401-Gray-crowned%20Flycatcher%20B%2010627.mp3
XC231400,Grey-crowned Flatbill,0:31,,2006-07-19,10:30,Brazil,"Sao Gabriel da Cachoeira area, Amazonas",,song,ID certainty 100%. (Archiv. tape 392 side A track 25 seq. A),B,//xeno-canto.org/sounds/uploaded/OOECIWCSWV/XC231400-Gray-crowned%20Flycatcher%20B%2010626.mp3
XC97126,Grey-crowned Flatbill,1:04,,2004-08-07,11:14,Brazil,"São Gabriel da Cachoeira, Amazonas",70.0,song,Right bank of rio Negro. Terra firme forest edge.,B,//xeno-canto.org/sounds/uploaded/DGVLLRYDXS/TOLPOL35.mp3
XC8355,Grey-crowned Flatbill,0:09,,2006-09-21,08:00,Peru,"Road between Bagua Chica and Pedro Ruiz, Amazonas",200.0,call,"Bird not seen, id supported by Nick Anthanas.",B,//xeno-canto.org/sounds/uploaded/SNUDCZVUQK/TolmomyiasPoliocephalus_Ama21906200.mp3
XC6247,Grey-crowned Flatbill,0:38,,1985-04-10,?,Venezuela,"San Carlos del Rio Negro, Amazonas",119.0,song,Two birds.,B,//xeno-canto.org/sounds/uploaded/IHIOGGZVQA/Tolmomyias_poliocephalus_26b2835_850410.mp3
XC231420,Grey-crowned Flatbill,0:22,,2006-07-19,10:30,Brazil,"Sao Gabriel da Cachoeira area, Amazonas",,song,ID certainty 100%. (Archiv. tape 392 side A track 24 seq. A),C,//xeno-canto.org/sounds/uploaded/OOECIWCSWV/XC231420-Gray-crowned%20Flycatcher%20C%2010625.mp3
XC113629,Grey-crowned Flatbill,0:17,,2011-07-05,05:00,Brazil,"Manaus, Amazonas",140.0,"call, song",Another recording with two mystery birds. Right after the Attila spadiceus there is a long decreasing sequence of notes that i don´t know what it could be. And right above it there is 3 short Wee notes that i also don´t know. Any help is greatly appreciated.,C,//xeno-canto.org/sounds/uploaded/QTARYWCTXX/XC113629-C2939_D01.mp3
XC617057,Grey-crowned Flatbill,0:24,,2020-12-23,08:00,Brazil,"Close to Ramal do Pau Rosa, Manaus, Amazonas",100.0,song,[sono],D,//xeno-canto.org/sounds/uploaded/ESJQFJUOUH/XC617057-gray-crowned%20flycatcher.mp3
XC536215,Ruddy Pigeon,0:01,,2016-05-18,06:30,Brazil,"Purus River, Boca do Acre, State of Amazonas",150,song,FCF01732 - Fonoteca Casa da Floresta.,,//xeno-canto.org/sounds/uploaded/CHDHFSVVIN/XC536215-1732%20Patagioenas%20subvinacea%20%28song%29Boca_do_Acre_AM_180516_FIG.mp3
XC536214,Ruddy Pigeon,0:18,,2016-05-22,06:30,Brazil,"Purus River, Boca do Acre, State of Amazonas",150,call,FCF01731 - Fonoteca Casa da Floresta.,,//xeno-canto.org/sounds/uploaded/CHDHFSVVIN/XC536214-1731%20Patagioenas%20subvinacea%20%28calls%20in%20resp%20pb%29Boca_do_Acre_AM_220516_FIG.mp3
XC504751,Ruddy Pigeon,1:22,,2019-03-27,14:10,Brazil,"Careiro, Amazonas",20,song,Humid and dense roadside bush. The bird perched in the dead tree.,A,//xeno-canto.org/sounds/uploaded/UTCLOBFQPH/XC504751-LS110938%20Ruddy%20Pigeon.mp3
XC494051,Ruddy Pigeon,0:03,,2019-08-01,9:57,Brazil,"Presidente Figueiredo, Amazonas",70,song,,A,//xeno-canto.org/sounds/uploaded/LXKLWEDKEM/XC494051-1-8-2019%209e57%20pomba%20botafogo.mp3
XC494050,Ruddy Pigeon,0:03,,2019-08-01,9:53,Brazil,"Presidente Figueiredo, Amazonas",70,song,,A,//xeno-canto.org/sounds/uploaded/LXKLWEDKEM/XC494050-1-8-2019%209e53%20Pomba%20botafogo.mp3
XC493851,Ruddy Pigeon,0:11,,2019-07-30,9:23,Brazil,"Manaus, Amazonas",110,song,,A,//xeno-canto.org/sounds/uploaded/LXKLWEDKEM/XC493851-30%E2%80%8E-7-2019%20%E2%80%8F%E2%80%8E9e23%20Pomba%20botafogo.mp3
XC393346,Ruddy Pigeon,0:13,,1995-00-00,?,Brazil,"BDFFP, Amazonas state",110,song,[sono],A,//xeno-canto.org/sounds/uploaded/QCRJBRYRWW/XC393346-Patagioenas_subvinacea.mp3
XC317238,Ruddy Pigeon,0:59,,2001-07-02,08:46,Brazil,"Anavilhanas Archipelago, Amazonas",10,song,flooded igapó forest,A,//xeno-canto.org/sounds/uploaded/DGVLLRYDXS/XC317238-PATSUB04.mp3
XC67053,Ruddy Pigeon,0:36,,1998-12-19,09:27:00,Brazil,"São Gabriel da Cachoeira, Amazonas",70,"call, song",Terra firme forest. Natural song and calls after playback.,A,//xeno-canto.org/sounds/uploaded/DGVLLRYDXS/COLSUB07.mp3
XC301421,Ruddy Pigeon,0:08,,1998-12-18,10:32,Brazil,"São Gabriel da Cachoeira, Amazonas",70,song,left bank of rio Negro - terra firme forest,B,//xeno-canto.org/sounds/uploaded/DGVLLRYDXS/XC301421-PATSUB03.mp3
XC270886,Ruddy Pigeon,0:26,,2010-08-11,8:00,Brazil,"Reserva Natural Palmarí, Río Javarí, Amazonas",50m,song,[sono],B,//xeno-canto.org/sounds/uploaded/OOECIWCSWV/XC270886-Ruddy%20Pigeon%20song%201.mp3
XC58411,Ruddy Pigeon,0:33,,2009-08-15,07:35,Colombia,,110,song,"2 individuals, one calls from far;",B,//xeno-canto.org/sounds/uploaded/LEHRZWLXDV/Patagioenas%20subvinacea.mp3
XC284322,Ruddy Pigeon,0:09,,2011-03-23,09:00,Venezuela,"Puerto Ayacucho, Raudal Atures, Rio Orinoco, Amazonas",40,song,"In a dense tropical rain wood, calls reminds... cuckoo species ... Does anyone know who is singing?",C,//xeno-canto.org/sounds/uploaded/LELYWQKUZX/XC284322-043-1.mp3
XC227351,Ruddy Pigeon,0:12,,2006-07-22,08:30,Brazil,"Tabajos tracks, Sao Gabriel da Cachoeira, Amazonas",,song,ID certainty 90%. (Archiv. tape 393 side A track 19 seq. A),C,//xeno-canto.org/sounds/uploaded/OOECIWCSWV/XC227351-Ruddy%20Pigeon%20B%201768.mp3
XC227349,Ruddy Pigeon,0:16,,2006-07-20,09:00,Brazil,"Tabajos tracks, Sao Gabriel da Cachoeira, Amazonas",,song,ID certainty 90%. (Archiv. tape 392 side B track 14 seq. B),C,//xeno-canto.org/sounds/uploaded/OOECIWCSWV/XC227349-Ruddy%20Pigeon%20B%201767.mp3
